Id,AllowableRace,Description,Name4,Name3,Name2,Name1,DmgVariance,DurationInInventory,QualityModifier,BagFamily,RangeMod,StatPercentageOfSocket1,StatPercentageOfSocket2,StatPercentageOfSocket3,StatPercentageOfSocket4,StatPercentageOfSocket5,StatPercentageOfSocket6,StatPercentageOfSocket7,StatPercentageOfSocket8,StatPercentageOfSocket9,StatPercentageOfSocket10,StatPercentEditor1,StatPercentEditor2,StatPercentEditor3,StatPercentEditor4,StatPercentEditor5,StatPercentEditor6,StatPercentEditor7,StatPercentEditor8,StatPercentEditor9,StatPercentEditor10,Stackable,MaxCount,RequiredAbility,SellPrice,BuyPrice,VendorStackCount,PriceVariance,PriceRandomValue,Flags1,Flags2,Flags3,Flags4,OppositeFactionItemId,MaxDurability,ItemNameDescriptionId,RequiredTransmogHoliday,RequiredHoliday,LimitCategory,GemProperties,SocketMatchEnchantmentId,TotemCategoryId,InstanceBound,ZoneBound1,ZoneBound2,ItemSet,LockId,StartQuestId,PageText,Delay,RequiredReputationId,RequiredSkillRank,RequiredSkill,ItemLevel,AllowableClass,ItemRandomSuffixGroupId,RandomProperty,DamageMin1,DamageMin2,DamageMin3,DamageMin4,DamageMin5,DamageMax1,DamageMax2,DamageMax3,DamageMax4,DamageMax5,Armor,HolyResistance,FireResistance,NatureResistance,FrostResistance,ShadowResistance,ArcaneResistance,ScalingStatDistributionId,ExpansionId,ArtifactId,SpellWeight,SpellWeightCategory,SocketType1,SocketType2,SocketType3,SheatheType,Material,PageMaterial,PageLanguage,Bonding,DamageType,StatType1,StatType2,StatType3,StatType4,StatType5,StatType6,StatType7,StatType8,StatType9,StatType10,ContainerSlots,RequiredReputationRank,RequiredCityRank,RequiredHonorRank,InventoryType,OverallQualityId,AmmoType,StatValue1,StatValue2,StatValue3,StatValue4,StatValue5,StatValue6,StatValue7,StatValue8,StatValue9,StatValue10,RequiredLevel
"41","-1","","","","","OLDRecruit's Belt","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","254","0","0","0","0","0","0","0","7","0","0","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0"
"42","-1","","","","","OLDSquire's Belt","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","254","0","0","0","0","0","0","0","7","0","0","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0"
"46","-1","","","","","OLDFootpad's Belt","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","254","0","0","0","0","0","0","0","7","0","0","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0"
"50","-1","","","","","OLDInitiate's Belt","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","254","0","0","0","0","0","0","0","7","0","0","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0"
"54","-1","","","","","OLDNovice's Belt","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","254","0","0","0","0","0","0","0","7","0","0","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0"
"58","-1","","","","","OLDAcolyte's Belt","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","254","0","0","0","0","0","0","0","7","0","0","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0"
"77","-1","","","","","Deprecated Outfitter Cloth Armor","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","0","0","415","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","254","0","0","0","0","0","0","0","7","0","0","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","5","6","0","0","0","0","0","0","0","0","0","0","0","0"
"85","-1","","","","","Dirty Leather Vest","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","12","63","1","1","1","0","0","0","0","0","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","414","5","-1","0","0","0","0","0","0","0","0","0","0","0","0","33","0","0","0","0","0","0","0","254","0","0","0","0","0","0","0","8","0","0","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","1"
"86","-1","","","","","Deprecated Old Belt","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","254","0","0","0","0","0","0","0","7","0","0","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0"
"87","-1","","","","","Deprecated Old Boots","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1000","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","254","0","0","0","0","0","0","0","7","0","0","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","0","0","8","6","0","0","0","0","0","0","0","0","0","0","0","0"
